EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,12,0,21500332,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,10:46 PM
0,10,1,21500332,Jump Ball Cousins vs. Lopez: Tip to Porzingis,,12:00,1,4,5,5,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,201577,Robin Lopez,NYK,New York,1610612752,Knicks,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,,,,10:46 PM
2,5,2,21500332,Rondo STEAL (1 STL),,11:43,1,5,4,0,101181,Jose Calderon,NYK,New York,1610612752,Knicks,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,,,Calderon Lost Ball Turnover (P1.T1),10:46 PM
80,1,3,21500332,Cousins 21' Step Back Jump Shot (2 PTS),,11:24,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,0 - 2,2,,10:46 PM
1,2,4,21500332,,,11:07,1,5,0,0,101181,Jose Calderon,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Calderon 15' Jump Shot,10:46 PM
0,4,5,21500332,Gay REBOUND (Off:0 Def:1),,11:04,1,4,0,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:46 PM
1,2,6,21500332,MISS Rondo 25' 3PT Jump Shot,,10:43,1,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:47 PM
0,4,7,21500332,,,10:42,1,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Porzingis REBOUND (Off:0 Def:1),10:47 PM
1,2,8,21500332,,,10:31,1,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Anthony 21' Jump Shot,10:47 PM
0,4,9,21500332,Cousins REBOUND (Off:0 Def:1),,10:30,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:47 PM
2,5,10,21500332,Gay Lost Ball Turnover (P1.T1),,10:18,1,4,5,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,,,Anthony STEAL (1 STL),10:47 PM
1,2,11,21500332,,,10:05,1,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Porzingis 16' Jump Shot,10:47 PM
0,4,12,21500332,Cousins REBOUND (Off:0 Def:2),,10:04,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:47 PM
1,1,13,21500332,McLemore 25' 3PT Jump Shot (3 PTS) (Cousins 1 AST),,9:59,1,4,4,0,203463,Ben McLemore,SAC,Sacramento,1610612758,Kings,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0 - 5,5,,10:48 PM
1,1,14,21500332,,,9:40,1,5,5,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,2-5,3,Lopez 15' Jump Shot (2 PTS) (Anthony 1 AST),10:48 PM
1,2,15,21500332,MISS Cousins 18' Jump Shot,,9:28,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:48 PM
0,4,16,21500332,,,9:27,1,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Porzingis REBOUND (Off:0 Def:2),10:48 PM
5,7,17,21500332,Gay Violation:Kicked Ball (E.Malloy),,9:23,1,4,0,1,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:48 PM
1,1,18,21500332,,,9:10,1,5,5,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,201167,Arron Afflalo,NYK,New York,1610612752,Knicks,0,,,,,,4-5,1,Lopez 18' Jump Shot (4 PTS) (Afflalo 1 AST),10:48 PM
1,2,19,21500332,MISS Cousins 26' 3PT Jump Shot,,8:58,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:49 PM
0,4,20,21500332,,,8:57,1,5,0,0,201167,Arron Afflalo,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Afflalo REBOUND (Off:0 Def:1),10:49 PM
80,1,21,21500332,,,8:39,1,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,5-5,-1,Anthony 18' Step Back Jump Shot (2 PTS),10:49 PM
1,6,22,21500332,,,8:25,1,5,4,1,201577,Robin Lopez,NYK,New York,1610612752,Knicks,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,,,Lopez P.FOUL (P1.T1) (B.Forte),10:49 PM
42,1,23,21500332,Cousins 3' Driving Layup (4 PTS),,8:16,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,5-7,1,,10:50 PM
1,5,24,21500332,Rondo STEAL (2 STL),,8:07,1,5,4,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,,,Porzingis Bad Pass Turnover (P1.T2),10:50 PM
41,2,26,21500332,MISS Casspi 2' Running Layup,,8:02,1,4,0,5,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,,,Porzingis BLOCK (1 BLK),10:50 PM
0,4,25,21500332,,,8:01,1,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Anthony REBOUND (Off:0 Def:1),10:50 PM
1,2,27,21500332,,,7:38,1,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Anthony 22' Jump Shot,10:50 PM
0,4,28,21500332,Rondo REBOUND (Off:0 Def:1),,7:37,1,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:50 PM
1,2,29,21500332,MISS Cousins 21' Jump Shot,,7:20,1,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:51 PM
0,4,30,21500332,,,7:19,1,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Porzingis REBOUND (Off:0 Def:3),10:51 PM
1,2,31,21500332,,,7:12,1,5,0,0,201167,Arron Afflalo,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Afflalo 25' 3PT Jump Shot,10:51 PM
0,4,32,21500332,Rondo REBOUND (Off:0 Def:2),,7:11,1,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,10:51 PM
