EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,12,0,21500284,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,7:11 PM
0,10,1,21500284,Jump Ball Hollins vs. Len: Tip to Leuer,,12:00,1,4,5,5,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,203458,Alex Len,PHX,Phoenix,1610612756,Suns,202720,Jon Leuer,PHX,Phoenix,1610612756,Suns,,,,7:11 PM
1,6,2,21500284,Porter Jr. P.FOUL (P1.T1) (N.Buchert),,11:49,1,4,5,1,203490,Otto Porter,WAS,Washington,1610612764,Wizards,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,,,,7:11 PM
1,5,3,21500284,Wall STEAL (1 STL),,11:46,1,5,4,0,203458,Alex Len,PHX,Phoenix,1610612756,Suns,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,,,Len Bad Pass Turnover (P1.T1),7:11 PM
5,2,4,21500284,MISS Porter Jr. 3' Layup,,11:38,1,4,0,5,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,203458,Alex Len,PHX,Phoenix,1610612756,Suns,,,Len BLOCK (1 BLK),7:11 PM
0,4,5,21500284,Wall REBOUND (Off:1 Def:0),,11:34,1,4,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,7:11 PM
5,2,7,21500284,MISS Wall 3' Layup,,11:33,1,4,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,7:12 PM
0,4,6,21500284,Porter Jr. REBOUND (Off:1 Def:0),,11:22,1,4,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,7:12 PM
1,2,8,21500284,MISS Dudley 4' Jump Shot,,11:18,1,4,0,5,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,203458,Alex Len,PHX,Phoenix,1610612756,Suns,,,Len BLOCK (2 BLK),7:12 PM
0,4,9,21500284,WIZARDS Rebound,,11:14,1,2,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,,7:12 PM
